# R(Au-Au)  proton<x>  proton<y>  proton<z>  proton<x^2>  proton<y^2>  proton<z^2>
1.4 -0.0000000 0.0000000 0.0043448 0.0167887 0.0275109 0.0270665
1.5 0.0000000 -0.0000000 0.0042913 0.0189187 0.0274731 0.0271003
1.6 0.0000000 0.0000000 0.0042858 0.0209368 0.0276050 0.0273041
1.62 -0.0000000 0.0000000 0.0042849 0.0213139 0.0276402 0.0273533
1.64 0.0000000 -0.0000000 0.0042841 0.0216807 0.0276773 0.0274040
1.66 0.0000000 -0.0000000 0.0042834 0.0220376 0.0277159 0.0274557
1.665 0.0000000 0.0000000 0.0042832 0.0221253 0.0277258 0.0274688
1.670 0.0000000 -0.0000000 0.0042830 0.0222123 0.0277357 0.0274818
1.675 0.0000000 -0.0000000 0.0042828 0.0222988 0.0277458 0.0274949
1.68 0.0000000 0.0000000 0.0042827 0.0223847 0.0277558 0.0275080
1.685 0.0000000 -0.0000000 0.0042825 0.0224700 0.0277659 0.0275211
1.690 0.0000000 0.0000000 0.0042823 0.0225548 0.0277761 0.0275343
1.695 0.0000000 0.0000000 0.0042821 0.0226389 0.0277863 0.0275474
1.7 0.0000000 0.0000000 0.0042820 0.0227225 0.0277966 0.0275605
1.72 0.0000000 -0.0000000 0.0042813 0.0230513 0.0278380 0.0276127
1.74 -0.0000000 0.0000000 0.0042806 0.0233713 0.0278796 0.0276643
1.76 0.0000000 0.0000000 0.0042799 0.0236829 0.0279212 0.0277149
1.78 0.0000000 0.0000000 0.0042792 0.0239862 0.0279625 0.0277643
1.8 0.0000000 0.0000000 0.0042785 0.0242814 0.0280031 0.0278123
1.9 -0.0000000 0.0000000 0.0042433 0.0256210 0.0281825 0.0280208
2.0 -0.0000000 -0.0000000 0.0042383 0.0267251 0.0283369 0.0281986
2.1 -0.0000000 0.0000000 0.0042317 0.0275832 0.0284636 0.0283471
2.2 0.0000000 0.0000000 0.0042239 0.0282117 0.0285699 0.0284739
2.3 0.0000000 -0.0000000 0.0042153 0.0286468 0.0286602 0.0285825
2.4 0.0000000 -0.0000000 0.0042062 0.0289365 0.0287369 0.0286749
