# R(Au-Au)  Escf  Eneo  Eneo(noke)
1.4  -1626.2137201158  -1626.1965405967  -1626.2064131292
1.5  -1626.2483917826  -1626.2337797721  -1626.2429420155
1.6  -1626.2617573701  -1626.2492087881  -1626.2578361636
1.62  -1626.2626884016  -1626.2504983050  -1626.2590376048
1.64  -1626.2631838615  -1626.2513393819  -1626.2597960695
1.66  -1626.2632920327  -1626.2517801440  -1626.2601592981
1.665  -1626.2632646567  -1626.2518324835  -1626.2601930040
1.670  -1626.2632149786  -1626.2518627670  -1626.2602049427
1.675  -1626.2631443095  -1626.2518714881  -1626.2601956020
1.68  -1626.2630536397  -1626.2518591175  -1626.2601654475
1.685  -1626.2629429722  -1626.2518261078  -1626.2601149263
1.690  -1626.2628128312  -1626.2517729007  -1626.2600444750
1.695  -1626.2626628837  -1626.2516999041  -1626.2599544966
1.7  -1626.2624950844  -1626.2516075773  -1626.2598454453
1.72  -1626.2616458048  -1626.2510531524  -1626.2592266040
1.74  -1626.2605306871  -1626.2502233755  -1626.2583361784
1.76  -1626.2591798945  -1626.2491484593  -1626.2572041393
1.78  -1626.2576270752  -1626.2478625097  -1626.2558643844
1.8  -1626.2559083652  -1626.2464025422  -1626.2543537493
1.9  -1626.2459990073  -1626.2376398810  -1626.2453816369
2.0  -1626.2349612025  -1626.2275275017  -1626.2351161516
2.1  -1626.2227068797  -1626.2159976861  -1626.2234767900
2.2  -1626.2106341383  -1626.2044792785  -1626.2118808574
2.3  -1626.1992674311  -1626.1935253023  -1626.2008725955
2.4  -1626.1879580050  -1626.1825206731  -1626.1898299375
